Date,CL=F,EEM,ES=F,EURUSD=X,GBPUSD=X,GC=F,GLD,HYG,IEF,IWM,JPY=X,LQD,NQ=F,QQQ,SPY,TLT,USO,UUP,ZN=F
2023-01-25,80.1500015258789,38.89447021484375,4032.0,1.088814616203308,1.232923984527588,1941.199951171875,181.11000061035156,62.26276779174805,88.38191223144531,179.7723388671875,130.23899841308594,95.52165222167969,11873.25,281.96832275390625,382.80828857421875,93.77076721191406,70.51000213623047,23.7946834564209,115.140625
2023-01-26,81.01000213623047,39.26402282714844,4075.5,1.0922038555145264,1.2412492036819458,1929.0999755859375,179.47000122070312,62.41802978515625,88.06224822998047,180.83688354492188,129.23699951171875,95.48721313476562,12106.75,287.46600341796875,387.0154113769531,93.33455657958984,70.93000030517578,23.855562210083008,114.859375
2023-01-27,79.68000030517578,39.079246520996094,4084.25,1.0894432067871094,1.2415266036987305,1928.5999755859375,179.22000122070312,62.23009490966797,87.9290542602539,181.81507873535156,129.8000030517578,95.21145629882812,12222.25,290.3275451660156,387.9046630859375,93.09899139404297,69.5,23.890348434448242,114.609375
2023-01-30,77.9000015258789,38.293968200683594,4032.5,1.0871455669403076,1.2400301694869995,1922.9000244140625,178.75999450683594,61.88692092895508,87.65377807617188,179.28323364257812,129.85400390625,94.84955596923828,11968.0,284.45745849609375,383.0377197265625,92.75872802734375,68.0999984741211,23.977317810058594,114.28125
2023-01-31,78.87000274658203,38.21082305908203,4090.0,1.0850694179534912,1.2353609800338745,1929.5,179.41000366210938,62.368995666503906,88.09777069091797,183.63726806640625,130.47900390625,95.53026580810547,12152.0,288.7203369140625,388.66961669921875,93.50028991699219,69.31999969482422,23.925138473510742,114.515625
2023-02-01,76.41000366210938,38.681983947753906,4132.25,1.0860947370529175,1.2308903932571411,1927.800048828125,181.6699981689453,63.02424240112305,88.73136138916016,186.52395629882812,130.11000061035156,96.50001525878906,12414.25,294.89422607421875,392.80035400390625,94.62429809570312,67.36000061035156,23.699016571044922,115.484375
2023-02-02,75.87999725341797,38.45101547241211,4191.5,1.1012852191925049,1.2390038967132568,1916.300048828125,177.89999389648438,63.38547134399414,88.69580078125,190.1970977783203,128.6219940185547,96.63831329345703,12846.75,305.4779357910156,398.5183410644531,94.74674987792969,66.56999969482422,23.855562210083008,115.546875
2023-02-03,73.38999938964844,37.767364501953125,4147.75,1.0905125141143799,1.222299575805664,1862.9000244140625,173.4600067138672,62.72041320800781,87.74358367919922,188.92160034179688,128.74600219726562,95.5406494140625,12624.0,300.0489501953125,394.2824401855469,93.32974243164062,64.4000015258789,24.168651580810547,114.421875
2023-02-06,74.11000061035156,37.21304702758789,4123.5,1.079086184501648,1.2045146226882935,1866.199951171875,173.82000732421875,62.318111419677734,86.98717498779297,186.18829345703125,132.00900268554688,94.80597686767578,12515.5,297.5107116699219,391.87286376953125,92.63871765136719,65.5,24.307802200317383,113.5
2023-02-07,77.13999938964844,37.360862731933594,4175.75,1.0730764865875244,1.2026747465133667,1871.699951171875,173.97999572753906,62.53977966308594,86.77360534667969,187.5693359375,132.6230010986328,94.49481201171875,12776.75,303.6747741699219,396.9980163574219,91.89522552490234,67.76000213623047,24.264314651489258,113.234375
