Date,AAPL_250C_20271217,CL=F,EEM,ES=F,EURUSD=X,GBPUSD=X,GC=F,GLD,HYG,IEF,IWM,JPY=X,LQD,NQ=F,QQQ,QQQ_700P_20271217,SPY,SPY_550P_20271217,SPY_650C_20271217,TLT,USO,UUP,ZN=F
2025-09-19,,62.68000030517578,51.99185562133789,6658.77001953125,1.1791062355041504,1.3556013107299805,3671.5,339.17999267578125,77.75012969970703,93.91341400146484,241.16436767578125,147.94700622558594,108.022216796875,24568.0703125,596.4771728515625,,658.2465209960938,,,86.10734558105469,73.5199966430664,26.52413558959961,112.828125
2025-09-22,,62.63999938964844,52.24686050415039,6752.5,1.1736950874328613,1.3464748859405518,3740.699951171875,345.04998779296875,77.80754089355469,93.75791931152344,242.56385803222656,148.09500122070312,107.78052520751953,25003.0,600.0083618164062,,661.3607177734375,,,85.79781341552734,73.44999694824219,26.42743682861328,112.703125
2025-09-23,,63.40999984741211,52.276283264160156,6715.0,1.1801080703735352,1.3514974117279053,3780.60009765625,346.4599914550781,77.75012969970703,94.02033233642578,242.01795959472656,147.72500610351562,107.99321746826172,24827.25,596.02294921875,,657.7606201171875,,,86.39752960205078,75.05000305175781,26.408098220825195,112.875
2025-09-24,,64.98999786376953,52.0997428894043,6692.25,1.1814465522766113,1.3524478673934937,3732.10009765625,343.32000732421875,77.64488983154297,93.76763916015625,239.79470825195312,147.61300659179688,107.55819702148438,24739.25,593.9305419921875,,655.6678466796875,,,86.06867218017578,76.38999938964844,26.60149383544922,112.640625
2025-09-25,,64.9800033569336,51.79569625854492,6659.75,1.1744670867919922,1.3452396392822266,3736.89990234375,344.75,77.42481994628906,93.56353759765625,237.501953125,148.75100708007812,107.36483764648438,24629.25,591.3699340820312,,652.6429443359375,,,86.06867218017578,76.98999786376953,26.785219192504883,112.328125
2025-09-26,,65.72000122070312,51.69761657714844,6696.5,1.166275978088379,1.333653450012207,3775.300048828125,346.739990234375,77.5779037475586,93.51494598388672,239.53663635253906,149.86099243164062,107.50984954833984,24726.75,593.801025390625,,656.3819580078125,,,85.99127960205078,77.0199966430664,26.688520431518555,112.265625
2025-09-29,,63.45000076293945,52.16839599609375,6713.5,1.170823097229004,1.3408241271972656,3820.89990234375,352.4599914550781,77.71185302734375,93.78707885742188,239.81454467773438,149.40499877929688,107.8675537109375,24837.75,596.5509643554688,,658.2266845703125,,,86.69739532470703,74.58999633789062,26.630502700805664,112.515625
2025-09-30,,62.369998931884766,52.374366760253906,6738.75,1.1731443405151367,1.3437248468399048,3840.800048828125,355.4700012207031,77.68315887451172,93.74819946289062,240.1520233154297,148.59500122070312,107.7612075805664,24901.75,598.1849975585938,,660.7061157226562,,,86.4458999633789,73.75,26.60149383544922,112.5
2025-10-01,,61.779998779296875,52.78629684448242,6761.5,1.1735849380493164,1.3443390130996704,3867.5,356.0299987792969,77.82831573486328,94.06405639648438,240.67803955078125,147.9969940185547,108.19393920898438,25017.5,601.0545043945312,,662.95751953125,,,86.66915893554688,73.13999938964844,26.59182357788086,112.84375
2025-10-02,,60.47999954223633,53.031494140625,6766.75,1.1734058856964111,1.3480178117752075,3839.699951171875,354.7900085449219,77.79946899414062,94.16153717041016,242.19662475585938,147.08299255371094,108.36859130859375,25110.0,603.5255126953125,,663.7210693359375,,,86.92151641845703,71.54000091552734,26.630502700805664,112.921875
2025-10-03,,60.880001068115234,53.18842315673828,6764.0,1.1725116968154907,1.3446643352508545,3880.800048828125,357.6400146484375,77.71294403076172,93.976318359375,243.9930877685547,147.14999389648438,108.23275756835938,24992.0,600.9848022460938,,663.7113037109375,,,86.75650787353516,71.70999908447266,26.5821533203125,112.671875
2025-10-06,,61.689998626708984,53.43362045288086,6788.75,1.171248197555542,1.3433817625045776,3948.5,364.3800048828125,77.732177734375,93.703369140625,244.96575927734375,149.6060028076172,107.88346099853516,25184.75,605.498291015625,,666.0914916992188,,,86.06735229492188,72.87000274658203,26.707860946655273,112.390625
2025-10-07,,61.72999954223633,53.021690368652344,6761.5,1.171028733253479,1.3484903573989868,3976.60009765625,366.260009765625,77.64566040039062,93.93733215332031,242.3355712890625,150.33099365234375,108.08720397949219,25039.25,602.3099975585938,,663.6219482421875,,,86.5623779296875,73.19999694824219,26.862577438354492,112.671875
2025-10-08,,62.54999923706055,53.44343185424805,6801.25,1.1654603481292725,1.3421016931533813,4043.300048828125,372.29998779296875,77.53030395507812,93.9568099975586,244.87644958496094,152.05099487304688,107.95137786865234,25331.0,609.2147216796875,,667.5791625976562,,,86.63034057617188,73.52999877929688,26.920595169067383,112.609375
2025-10-09,,61.5099983215332,52.89418411254883,6779.25,1.1631964445114136,1.3401411771774292,3946.300048828125,365.42999267578125,77.30918884277344,93.88858032226562,243.29832458496094,152.67999267578125,107.7379150390625,25289.25,608.4774169921875,,665.6452026367188,,,86.5623779296875,72.51000213623047,27.104320526123047,112.484375
2025-10-10,,58.900001525878906,50.942405700683594,6595.25,1.156644344329834,1.3304948806762695,3975.89990234375,369.1199951171875,76.85737609863281,94.47350311279297,236.01315307617188,152.96499633789062,108.03868865966797,24397.0,587.3545532226562,,647.6542358398438,,,87.96011352539062,69.38999938964844,26.968942642211914,113.140625
2025-10-13,,59.4900016784668,52.423404693603516,6694.75,1.160240888595581,1.3336178064346313,4108.60009765625,378.0899963378906,77.33802795410156,94.52223205566406,242.5836944580078,152.05599975585938,108.40740203857422,24922.25,599.8190307617188,,657.5919189453125,,,87.91158294677734,70.27999877929688,27.065641403198242,113.15625
2025-10-14,,58.70000076293945,51.9526252746582,6686.5,1.1566845178604126,1.3332622051239014,4138.7001953125,380.7900085449219,77.42455291748047,94.76595306396484,246.04762268066406,152.4340057373047,108.76638793945312,24762.5,595.8236694335938,,656.78857421875,,,88.19306945800781,69.0,26.988283157348633,113.40625
2025-10-15,,58.27000045776367,52.80591583251953,6715.0,1.1602274179458618,1.3321610689163208,4176.89990234375,387.3900146484375,77.67450714111328,94.6587142944336,248.45947265625,151.7310028076172,108.76638793945312,24924.5,600.0282592773438,,659.7044067382812,,,87.99894714355469,68.98999786376953,26.910924911499023,113.234375
2025-10-16,,57.459999084472656,53.14918899536133,6668.75,1.1646324396133423,1.3404465913772583,4280.2001953125,396.45001220703125,77.39572143554688,95.097412109375,243.22885131835938,150.9739990234375,109.07687377929688,24831.25,597.806396484375,,655.2116088867188,,,88.65898132324219,67.80999755859375,26.80455780029297,113.75
2025-10-17,,57.540000915527344,53.139381408691406,6702.5,1.1699601411819458,1.3445558547973633,4189.89990234375,388.989990234375,77.59760284423828,94.94142150878906,241.5911865234375,150.1199951171875,108.86341857910156,24986.5,601.7320556640625,,658.9308471679688,,,88.5230941772461,67.9800033569336,26.833566665649414,113.46875
2025-10-20,,57.52000045776367,53.865169525146484,6773.75,1.165745735168457,1.342588186264038,4336.39990234375,403.1499938964844,77.75138854980469,95.06815338134766,246.3056640625,150.89999389648438,109.19330596923828,25305.25,609.3142700195312,,665.7840576171875,,,88.86282348632812,67.83000183105469,26.901254653930664,113.59375
2025-10-21,,57.81999969482422,53.26689147949219,6773.25,1.164442539215088,1.3405184745788574,4087.699951171875,377.239990234375,77.63603973388672,95.2436294555664,245.14443969726562,150.7740020751953,109.21270751953125,25294.75,609.1549682617188,,665.7741088867188,,,89.29961395263672,68.2699966430664,27.00762367248535,113.75
2025-10-22,,58.5,53.21784591674805,6737.0,1.160038948059082,1.336523175239563,4044.39990234375,377.2799987792969,77.55913543701172,95.26313018798828,241.52169799804688,151.89300537109375,109.31945037841797,25039.25,603.286376953125,,662.3128051757812,,,89.35784149169922,70.62999725341797,26.978612899780273,113.796875
2025-10-23,,61.790000915527344,53.688629150390625,6775.0,1.1608469486236572,1.3351848125457764,4125.5,378.7900085449219,77.732177734375,94.951171875,244.5786895751953,151.95399475097656,109.1836166381836,25254.0,608.35791015625,,666.2402954101562,,,88.74634552001953,73.29000091552734,26.988283157348633,113.484375
